libraries loaded!
config file loaded!
app.training_policy=results/simpleds-policy.json
app.training_output=results/simpleds-output.txt
app.test_policy=results/simpleds-policy.json
configurations defined!
brain created!
Connected to server!
Initialised agent!
Running in training mode!
[steps avg.reward epsilon avg.actions dialogues time.hrs]
100 0.4103 1.0000 7.00 100 0.0001
200 0.4450 0.9990 7.00 200 0.0004
300 0.4507 0.9980 7.00 300 0.0007
400 0.4431 0.9970 7.00 400 0.0010
500 0.4487 0.9960 7.00 500 0.0014
600 0.4690 0.9950 7.00 600 0.0017
700 0.4666 0.9940 7.00 700 0.0020
800 0.4573 0.9930 7.00 800 0.0023
900 0.4497 0.9920 7.00 900 0.0026
1000 0.4456 0.9910 7.00 1000 0.0030
1100 0.4535 0.9900 7.00 1100 0.0033
1200 0.4636 0.9890 7.00 1200 0.0036
1300 0.4629 0.9880 7.00 1300 0.0039
1400 0.4774 0.9870 7.00 1400 0.0043
1500 0.4745 0.9860 7.00 1500 0.0046
1600 0.4826 0.9850 7.00 1600 0.0049
1700 0.4928 0.9840 7.00 1700 0.0052
1800 0.5032 0.9830 7.00 1800 0.0056
1900 0.5076 0.9820 7.00 1900 0.0059
2000 0.5137 0.9810 7.00 2000 0.0062
2100 0.5204 0.9800 7.00 2100 0.0065
2200 0.5140 0.9790 7.00 2200 0.0068
2300 0.5174 0.9780 7.00 2300 0.0071
2400 0.5073 0.9770 7.00 2400 0.0075
2500 0.5143 0.9760 7.00 2500 0.0078
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
2600 0.4968 0.9750 7.00 2600 0.0081
2700 0.4933 0.9740 7.00 2700 0.0084
2800 0.4971 0.9730 7.00 2800 0.0087
2900 0.4996 0.9720 7.00 2900 0.0090
3000 0.4985 0.9710 7.00 3000 0.0093
3100 0.5015 0.9700 7.00 3100 0.0097
3200 0.5009 0.9690 7.00 3200 0.0100
3300 0.5011 0.9680 7.00 3300 0.0103
3400 0.4991 0.9670 7.00 3400 0.0106
3500 0.4986 0.9660 7.00 3500 0.0109
3600 0.4930 0.9650 7.00 3600 0.0112
3700 0.5004 0.9640 7.00 3700 0.0115
3800 0.5095 0.9630 7.00 3800 0.0118
3900 0.5150 0.9620 7.00 3900 0.0122
4000 0.5504 0.9610 7.00 4000 0.0125
4100 0.5361 0.9600 7.00 4100 0.0128
4200 0.5495 0.9590 7.00 4200 0.0131
4300 0.5550 0.9580 7.00 4300 0.0134
4400 0.5597 0.9570 7.00 4400 0.0137
4500 0.5670 0.9560 7.00 4500 0.0140
4600 0.5532 0.9550 7.00 4600 0.0143
4700 0.5348 0.9540 7.00 4700 0.0147
4800 0.5133 0.9530 7.00 4800 0.0150
4900 0.5271 0.9520 7.00 4900 0.0153
5000 0.4907 0.9510 7.00 5000 0.0156
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
5100 0.5033 0.9500 7.00 5100 0.0159
5200 0.4903 0.9490 7.00 5200 0.0162
5300 0.4868 0.9480 7.00 5300 0.0165
5400 0.5069 0.9470 7.00 5400 0.0168
5500 0.5203 0.9460 7.00 5500 0.0172
5600 0.5369 0.9450 7.00 5600 0.0175
5700 0.5539 0.9440 7.00 5700 0.0178
